Fiyat,Oda Sayısı,Metrekare,Bina Yaşı,Kat Durumu,Bina Konumu
"1.350.000
TL",3 + 1,110 m²,30 Yaşında,Ara Kat,Ankara / Polatlı / Cumhuriyet Mah.
"1.350.000
TL",3 + 1,135 m²,30 Yaşında,Ara Kat,Ankara / Yenimahalle / Karşıyaka Mah.
"1.350.000
TL",1 + 1,45 m²,Sıfır Bina,Yüksek Giriş,Ankara / Çubuk / Esenboğa Merkez Mah.
"1.350.000
TL",2 + 1,75 m²,12 Yaşında,Zemin,Ankara / Mamak / Zirvekent Mah.
"1.350.000
TL",4 + 1,180 m²,10 Yaşında,1. Kat,Ankara / Polatlı / Çamlıca Mah.
"1.350.000
TL",3 + 1,139 m²,25 Yaşında,Giriş Katı,Ankara / Polatlı / Kurtuluş Mah.
"1.350.000
TL",3 + 1,125 m²,24 Yaşında,5. Kat,Ankara / Polatlı / Zafer Mah.
"1.350.000
TL",3 + 1,155 m²,20 Yaşında,4. Kat,Ankara / Polatlı / Cumhuriyet Mah.
"1.350.000
TL",3 + 1,120 m²,25 Yaşında,En Üst Kat,Ankara / Polatlı / Cumhuriyet Mah.
"1.350.000
TL",3 + 1,130 m²,22 Yaşında,En Üst Kat,Ankara / Polatlı / Cumhuriyet Mah.
"1.350.000
TL",3 + 1,141 m²,26 Yaşında,2. Kat,Ankara / Polatlı / Cumhuriyet Mah.
"1.350.000
TL",2 + 1,110 m²,11 Yaşında,4. Kat,Ankara / Şereflikoçhisar / Mehmet Akif Ersoy Mah.
"1.350.000
TL",2 + 1,110 m²,25 Yaşında,Ara Kat,Ankara / Polatlı / Cumhuriyet Mah.
"1.350.000
TL",3 + 1,150 m²,2 Yaşında,5. Kat,Ankara / Sincan / Alcı Mah.
"1.350.000
TL",3 + 1,130 m²,20 Yaşında,Ara Kat,Ankara / Polatlı / Cumhuriyet Mah.
"1.350.000
TL",3 + 1,115 m²,25 Yaşında,3. Kat,Ankara / Polatlı / Zafer Mah.
"1.350.000
TL",2 + 1,80 m²,25 Yaşında,Kot 3,Ankara / Mamak / Mehtap Mah.
"1.350.000
TL",2 + 1,80 m²,17 Yaşında,Kot 2,Ankara / Mamak / Hürel Mah.
"1.350.000
TL",3 + 1,135 m²,12 Yaşında,Yarı Bodrum,Ankara / Polatlı / Yeni Mah.
"1.359.000
TL",2 + 1,90 m²,5 Yaşında,6. Kat,Ankara / Mamak / Zirvekent Mah.
"1.360.000
TL",1 + 1,75 m²,13 Yaşında,En Üst Kat,Ankara / Sincan / Fevzi Çakmak Mah.
"1.365.000
TL",3 + 1,96 m²,17 Yaşında,Zemin,Ankara / Çubuk / Yavuzselim Mah.
"1.369.000
TL",2 + 1,80 m²,8 Yaşında,Bahçe Katı,Ankara / Altındağ / Karapürçek Mah.
"1.370.000
TL",2 + 1,90 m²,Sıfır Bina,Giriş Katı,Ankara / Akyurt / Yeşiltepe Mah.
"1.370.000
TL",1 + 1,50 m²,Sıfır Bina,Giriş Katı,Ankara / Çubuk / Yıldırım Beyazıt Mah.
"1.370.000
TL",3 + 1,130 m²,23 Yaşında,Yüksek Giriş,Ankara / Polatlı / Kurtuluş Mah.
"1.370.000
TL",2 + 1,115 m²,7 Yaşında,Kot 1,Ankara / Altındağ / Beşikkaya Mah.
"1.370.000
TL",3 + 1,105 m²,30 Yaşında,Ara Kat,Ankara / Altındağ / Gültepe Mah.
"1.370.000
TL",1 + 1,500 m²,3 Yaşında,Bahçe Katı,Ankara / Polatlı / Taşpınar Mah.
"1.375.000
TL",2 + 1,100 m²,25 Yaşında,Bahçe Katı,Ankara / Keçiören / Kalaba Mah.
"1.375.000
TL",1 + 1,50 m²,Sıfır Bina,8. Kat,Ankara / Çubuk / Yenice Mah.
"1.375.000
TL",1 + 1,50 m²,40 Yaşında,Zemin,Ankara / Keçiören / Aşağı Eğlence Mah.
"1.375.000
TL",1 + 1,50 m²,23 Yaşında,Giriş Katı,Ankara / Keçiören / Aşağı Eğlence Mah.
"1.375.000
TL",1 + 1,50 m²,Sıfır Bina,1. Kat,Ankara / Çubuk / Yenice Mah.
"1.375.000
TL",4 + 1,170 m²,5 Yaşında,,Ankara / Kızılcahamam / Pazar Mah.
"1.375.000
TL",3 + 1,125 m²,25 Yaşında,3. Kat,Ankara / Polatlı / Kurtuluş Mah.
"1.375.000
TL",3 + 1,120 m²,5 Yaşında,Kot 2,Ankara / Mamak / Durali Alıç Mah.
"1.375.000
TL",1 + 1,50 m²,Sıfır Bina,Yüksek Giriş,Ankara / Çubuk / Dumlupınar Mah.
"1.375.000
TL",2 + 1,90 m²,8 Yaşında,Bahçe Katı,Ankara / Altındağ / Karapürçek Mah.
"1.375.000
TL",2 + 1,90 m²,11 Yaşında,1. Kat,Ankara / Mamak / Zirvekent Mah.
"1.375.000
TL",3 + 1,130 m²,20 Yaşında,4. Kat,Ankara / Polatlı / Cumhuriyet Mah.
"1.375.000
TL",3 + 1,125 m²,20 Yaşında,2. Kat,Ankara / Polatlı / Cumhuriyet Mah.
"1.375.000
TL",3 + 1,130 m²,30 Yaşında,En Üst Kat,Ankara / Polatlı / Gazi Mah.
"1.375.000
TL",3 + 1,130 m²,11 Yaşında,Bahçe Katı,Ankara / Polatlı / Şehitlik Mah.
"1.375.000
TL",3 + 1,125 m²,15 Yaşında,Kot 1,Ankara / Altındağ / Karapürçek Mah.
"1.379.000
TL",3 + 1,130 m²,26 Yaşında,Bahçe Katı,Ankara / Yenimahalle / Demetlale Mah.
"1.380.000
TL",2 + 1,105 m²,11 Yaşında,Bahçe Katı,Ankara / Altındağ / Karapürçek Mah.
"1.380.000
TL",1 + 1,80 m²,25 Yaşında,Zemin,Ankara / Keçiören / İncirli Mah.
"1.380.000
TL",2 + 1,110 m²,12 Yaşında,Kot 3,Ankara / Altındağ / Karapürçek Mah.
"1.385.000
TL",3 + 1,100 m²,5 Yaşında,Kot 2,Ankara / Altındağ / Karapürçek Mah.
"1.385.000
TL",2 + 1,85 m²,30 Yaşında,Giriş Katı,Ankara / Mamak / Demirlibahçe Mah.
"1.385.000
TL",3 + 1,120 m²,10 Yaşında,Kot 2,Ankara / Altındağ / Karapürçek Mah.
"1.388.000
TL",2 + 1,95 m²,5 Yaşında,8. Kat,Ankara / Mamak / Zirvekent Mah.
"1.389.000
TL",3 + 1,120 m²,24 Yaşında,Bahçe Katı,Ankara / Sincan / İstasyon Mah.
"1.389.000
TL",3 + 1,120 m²,20 Yaşında,Bahçe Katı,Ankara / Sincan / İstasyon Mah.
"1.390.000
TL",2 + 1,90 m²,30 Yaşında,Kot 1,Ankara / Altındağ / Gültepe Mah.
"1.390.000
TL",2 + 1,90 m²,10 Yaşında,Kot 1,Ankara / Mamak / Bostancık Mah.
"1.390.000
TL",2 + 1,80 m²,21 Yaşında,Giriş Katı,Ankara / Mamak / Demirlibahçe Mah.
"1.390.000
TL",3 + 1,105 m²,5 Yaşında,Kot 2,Ankara / Mamak / Küçük Kayaş Mah.
"1.390.000
TL",3 + 1,115 m²,26 Yaşında,Kot 3,Ankara / Mamak / Mehtap Mah.
"1.390.000
TL",1 + 1,50 m²,Sıfır Bina,3. Kat,Ankara / Çubuk / Dumlupınar Mah.
"1.390.000
TL",2 + 1,105 m²,25 Yaşında,Yüksek Giriş,Ankara / Keçiören / Karargahtepe Mah.
"1.390.000
TL",3 + 1,110 m²,22 Yaşında,4. Kat,Ankara / Mamak / Lalahan Mah.
"1.390.000
TL",3 + 1,120 m²,20 Yaşında,Ara Kat,Ankara / Polatlı / Cumhuriyet Mah.
"1.390.000
TL",2 + 1,95 m²,2 Yaşında,Giriş Katı,Ankara / Altındağ / Karapürçek Mah.
"1.390.000
TL",3 + 1,120 m²,1 Yaşında,Bahçe Katı,Ankara / Mamak / Yeşilbayır Mah.
"1.395.000
TL",3 + 1,130 m²,25 Yaşında,4. Kat,Ankara / Polatlı / Cumhuriyet Mah.
"1.395.000
TL",3 + 1,165 m²,20 Yaşında,Ara Kat,Ankara / Polatlı / Mehmet Akif Mah.
"1.395.000
TL",2 + 1,90 m²,25 Yaşında,Bahçe Katı,Ankara / Mamak / Mehtap Mah.
"1.398.000
TL",2 + 1,90 m²,25 Yaşında,Bahçe Katı,Ankara / Sincan / Mareşal Çakmak Mah.
"1.399.000
TL",2 + 1,100 m²,30 Yaşında,Yüksek Giriş,Ankara / Keçiören / Karargahtepe Mah.
"1.399.000
TL",1 + 1,46 m²,Sıfır Bina,1. Kat,Ankara / Çubuk / Dumlupınar Mah.
"1.399.000
TL",2 + 1,100 m²,26 Yaşında,Yüksek Giriş,Ankara / Sincan / Ahi Evran Mah.
"1.399.000
TL",1 + 1,70 m²,23 Yaşında,3. Kat,Ankara / Sincan / Atatürk Mah.
"1.399.000
TL",3 + 1,110 m²,25 Yaşında,Kot 1,Ankara / Etimesgut / Kazım Karabekir Mah.
"1.399.000
TL",2 + 1,90 m²,25 Yaşında,Bahçe Katı,Ankara / Sincan / Mareşal Çakmak Mah.
"1.399.000
TL",3 + 1,110 m²,15 Yaşında,Bahçe Katı,Ankara / Pursaklar / Saray Cumhuriyet Mah.
"1.399.000
TL",1 + 1,60 m²,23 Yaşında,3. Kat,Ankara / Sincan / Atatürk Mah.
"1.399.000
TL",1 + 1,60 m²,23 Yaşında,3. Kat,Ankara / Sincan / Atatürk Mah.
